Class_society;Class_society_short_name
American Bureau of Shipping;ABS
Bureau Veritas;BV
Det Norske Veritas;DNVGL
DNV GL;DNVGL
Lloyd’s Register;LR
Nippon Kaiji Kyokai;NK
China Classification Society;CCS
Croatian register of shipping;CRS
Indian Register of Shipping;IRS
Korean Register;KR
Polish Register of shipping;PRS
Registro Italiano Navale;RINA
Russian Maritime Register of Shipping;RS
Russian Maritime Register;RS
Korean Register of Shipping;KR
Germanischer Lloyd;GL
Lloyds Register;LR
